,song,name,trackid,trackuri,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,clust
1388,Human Nature,Michael Jackson,35lAjvsvS9k9HHuP1fjDT8,spotify:track:35lAjvsvS9k9HHuP1fjDT8,0.624,0.512,2,-10.041,1,0.0297,0.541,0.00478,0.26,0.685,93.059,245560,1
1389,Just Say Yes,Snow Patrol,4k7P2LIQco8YCVbIZl1vZB,spotify:track:4k7P2LIQco8YCVbIZl1vZB,0.54,0.887,9,-5.518,1,0.0324,0.0187,3.19e-05,0.0275,0.255,108.02,281347,2
1390,Don't Stop 'Til You Get Enough,Michael Jackson,46eu3SBuFCXWsPT39Yg3tJ,spotify:track:46eu3SBuFCXWsPT39Yg3tJ,0.878,0.821,11,-9.875,1,0.089,0.126,0.0461,0.183,0.947,118.881,365467,4
1391,Four Seasons In One Day,Crowded House,7sDHD9tCtnPqGNTRHy0kSR,spotify:track:7sDHD9tCtnPqGNTRHy0kSR,0.517,0.261,7,-17.196,1,0.0263,0.816,0.000163,0.0863,0.492,89.221,170160,1
1392,Love Is A Battlefield,Pat Benatar,0viZ7D81W8pD65TkzaFkXT,spotify:track:0viZ7D81W8pD65TkzaFkXT,0.683,0.637,7,-11.906,1,0.049,0.0153,0.0275,0.0945,0.884,90.637,247027,4
1393,Tom Traubert's Blues (Four Sheets To The Wind In Copenhagen),Tom Waits,71vyz1pfzmj1MQvJYOsPlb,spotify:track:71vyz1pfzmj1MQvJYOsPlb,0.302,0.275,5,-12.81,1,0.0317,0.799,6.52e-06,0.172,0.328,134.698,398693,1
1394,Beautiful People,Melanie,4rMCvdNWp9IvvDJYyUfxyl,spotify:track:4rMCvdNWp9IvvDJYyUfxyl,0.539,0.444,0,-9.392,1,0.0529,0.608,0.0,0.397,0.373,129.034,215133,1
1395,It's A Long Way There - 2010 Digital Remaster,Little River Band,7vMS7xSaSUwpirgzD346Q6,spotify:track:7vMS7xSaSUwpirgzD346Q6,0.392,0.594,5,-11.059,1,0.0444,0.19,9.48e-05,0.149,0.304,88.647,524533,1
1396,Behind Blue Eyes,Limp Bizkit,1MTQHCpraD4S8g5PAFKzoj,spotify:track:1MTQHCpraD4S8g5PAFKzoj,0.595,0.489,7,-6.66,1,0.0271,0.497,0.0,0.119,0.0902,120.315,269973,1
1397,Bigmouth Strikes Again - 2011 Remaster,The Smiths,2OErSh4oVVAUll0vHxdr6p,spotify:track:2OErSh4oVVAUll0vHxdr6p,0.401,0.901,1,-5.011,0,0.041,0.0704,0.0,0.538,0.839,134.799,193320,3
1398,Golden Years - 2016 Remaster,David Bowie,4JRem7xHp2l0kmUvt9zCKu,spotify:track:4JRem7xHp2l0kmUvt9zCKu,0.68,0.701,6,-10.36,0,0.036,0.316,4.72e-06,0.111,0.933,108.287,243280,3
1399,Munich,Editors,2QN3pPQYoKsh5dIgEVnsYG,spotify:track:2QN3pPQYoKsh5dIgEVnsYG,0.175,0.875,7,-4.383,0,0.0527,0.000551,0.0347,0.324,0.394,149.366,226427,2
1400,Thank God It's Christmas,Queen,0QtJZpyfZF67QF32p41NXa,spotify:track:0QtJZpyfZF67QF32p41NXa,0.573,0.475,7,-8.11,1,0.0258,0.072,0.0,0.358,0.324,107.759,259227,2
1401,Spread Your Wings - Remastered 2011,Queen,0nUCaKwNqO5whVAhEX1A1R,spotify:track:0nUCaKwNqO5whVAhEX1A1R,0.395,0.656,9,-6.462,1,0.0329,0.29,2.72e-05,0.0624,0.487,174.782,274227,2
1402,Are You Gonna Go My Way,Lenny Kravitz,45Ia1U4KtIjAPPU7Wv1Sea,spotify:track:45Ia1U4KtIjAPPU7Wv1Sea,0.619,0.67,11,-10.322,0,0.0353,0.00165,0.0109,0.331,0.777,129.269,211933,3
1403,'N Beetje Verliefd,Andre Hazes,24qn72RJBFmccZ1vzepR5u,spotify:track:24qn72RJBFmccZ1vzepR5u,0.309,0.57,0,-8.708,1,0.0332,0.0417,0.0,0.194,0.22,196.169,250147,2
1404,Whiskey In The Jar,Thin Lizzy,2uLx3Gka9TGCz9Zgu7Uwav,spotify:track:2uLx3Gka9TGCz9Zgu7Uwav,0.557,0.693,7,-11.044,1,0.0445,0.531,0.00141,0.196,0.747,127.531,345187,4
1405,Father & Friend,Alain Clark,0FaioBWYAEsxcr4lsUylqX,spotify:track:0FaioBWYAEsxcr4lsUylqX,0.658,0.611,10,-8.906,1,0.0271,0.52,0.0,0.0631,0.632,97.907,256200,4
1406,Een Stap Terug,Miss Montreal,19Ldy1cgeZZpVVKkRoRUg0,spotify:track:19Ldy1cgeZZpVVKkRoRUg0,0.606,0.509,6,-8.79,1,0.0297,0.414,0.0,0.113,0.197,108.041,162987,1
1407,Turning Tables,Adele,0X1FYVkgy7Tfw79cY3C7lx,spotify:track:0X1FYVkgy7Tfw79cY3C7lx,0.361,0.446,0,-6.044,0,0.0281,0.95,1.32e-05,0.132,0.212,155.542,250000,1
1408,21 Guns,Green Day,64yrDBpcdwEdNY9loyEGbX,spotify:track:64yrDBpcdwEdNY9loyEGbX,0.268,0.742,5,-4.939,1,0.0355,0.0518,0.0,0.626,0.416,159.779,321093,2
1409,"My Heart Will Go On - Love Theme from ""Titanic""",Céline Dion,33LC84JgLvK2KuW43MfaNq,spotify:track:33LC84JgLvK2KuW43MfaNq,0.428,0.276,4,-11.729,1,0.0312,0.732,5.33e-06,0.117,0.0382,99.195,280000,1
1410,In-A-Gadda-Da-Vida - Single Version,Iron Butterfly,41TqRBgF4Ahyr4vGmZVk8b,spotify:track:41TqRBgF4Ahyr4vGmZVk8b,0.472,0.526,0,-9.505,1,0.0309,0.00291,0.000173,0.181,0.771,119.44,173987,4
1411,All For Nothing,Kensington,5uC8a9FxdqJ59XHjzdibCf,spotify:track:5uC8a9FxdqJ59XHjzdibCf,0.46,0.855,10,-6.498,1,0.0658,0.00417,4.18e-05,0.101,0.373,151.973,289099,2
